date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,perc_diff_price_ma7,perc_diff_price_ma21,perc_diff_price_upper_band,perc_diff_price_lower_band
2019-02-01,38.8727,38.22497,37.40509,37.68345514900142,38.11426426741646,0.4308091184150413,0.6957554390932504,38.7966008781865,36.0135791218135,38.80121034224353,37.8727,3.6342305359130234,1.6662850792458532,3.7754259415991185,0.19576495024399895,7.355086932954237
2019-02-04,39.1365,38.304970000000004,37.41792,37.79108810092724,38.27153130319854,0.480443202271303,0.6911590182641446,38.80023803652829,36.03560196347171,39.024736780747844,38.1365,3.6411718287878374,2.124691783884593,4.391246023533008,0.8592029524145142,7.923289094651503
2019-02-05,39.3208,38.45754,37.448374,37.90440009345115,38.43295725655261,0.5285571631014605,0.7033936960804834,38.855161392160966,36.04158660783904,39.22211226024928,38.3208,3.645992829711464,2.1954283737868936,4.761922443083552,1.1842043087603322,8.33964057740677
2019-02-06,39.2374,38.593450000000004,37.474796,38.00314082726958,38.556717678621446,0.5535768513518633,0.7151523385754851,38.90510067715097,36.04449132284903,39.232304086749764,38.2374,3.6438140942398656,1.6411637876107914,4.492152894942079,0.8468943478646186,8.137411442019538
2019-02-07,38.8759,38.68795,37.498923999999995,38.067789654879235,38.605822651141224,0.5380329962619896,0.6975468884270103,38.894017776854014,36.10383022314598,38.99470136224992,37.8759,3.63431502592345,0.4834614761330303,3.541978449373535,-0.046604134834209346,7.130561033581279
2019-02-08,38.915,38.75396,37.512038,38.13054597674003,38.6533883971195,0.5228424203794688,0.6830387723267107,38.87811554465342,36.145960455346575,38.94156712074997,37.915,3.635346812152899,0.4138250032121286,3.605195939868951,0.09478210290782624,7.115609776830076
2019-02-11,38.9431,38.85282,37.523196,38.19073516364818,38.69795941294726,0.5072242492990853,0.6582626906458581,38.83972138129172,36.20667061870828,38.94258904024999,37.9431,3.6360876691288913,0.231825406811476,3.646099052206944,0.2654606816311077,7.02673742278278
2019-02-12,39.448,39.00761,37.526774,38.28386589226683,38.813350272493835,0.5294843802270037,0.6325326710110198,38.791839342022044,36.26170865797796,39.27952968008333,38.448,3.649306678994113,1.1163810586088032,4.870274792131406,1.663355957153611,8.077193627109201
2019-02-13,39.5699,39.11522,37.534308,38.379127678024844,38.92974253826401,0.5506148602391647,0.6351992746594753,38.80470654931895,36.263909450681055,39.473109893361105,38.5699,3.652472179528157,1.1490552162123135,5.144294021465797,1.9337765591549292,8.354811483776665
2019-02-14,39.4787,39.1798,37.53348,38.46057747965263,39.01419753237724,0.5536200527246109,0.6207711154401243,38.775022230880246,36.29193776911975,39.47683663112037,38.4787,3.6501048414430373,0.7571171289834854,4.927264575581278,1.7824238617780146,8.07210528938454
2019-02-15,39.9115,39.28368,37.532654,38.568053221900584,39.15224406585766,0.5841908439570744,0.6502514201012817,38.83315684020256,36.23215115979744,39.76661221037346,38.9115,3.661289836754567,1.5730303296042492,5.960302168547902,2.7018357110041826,9.218768626091622
2019-02-19,39.9739,39.367419999999996,37.55889,38.67219002027832,39.27865267111032,0.6064626508320003,0.696322777148156,38.95153555429631,36.16624444570368,39.90480407012449,38.9739,3.662892191325545,1.5171899664531225,6.041467057254865,2.5575799351669137,9.525354179342816
2019-02-20,40.053,39.44064,37.58766,38.77447224099845,39.39778302940104,0.6233107884025912,0.7016624161319834,38.99098483226397,36.18433516773603,40.00360135670817,39.053,3.6649196979187044,1.5288742416298289,6.155194367463106,2.651524649179908,9.658864085746304
2019-02-21,39.9147,39.50837,37.631532,38.858933556480046,39.477308717185494,0.6183751607054475,0.6856705507070581,39.00287310141412,36.26019089858588,39.94433378556939,38.9147,3.6613720712720386,1.0179958762060195,5.720118151959061,2.2844388122317993,9.155797491686322
2019-02-22,40.1717,39.637950000000004,37.679198,38.956175515259304,39.58413814531081,0.6279626300515062,0.6760343564156339,39.03126671283127,36.32712928716873,40.095911261856465,39.1717,3.6679545472976174,1.3286716768272135,6.204621661517939,2.838897251469898,9.570346071565979
2019-02-25,40.227,39.76915,37.728204,39.050310662277134,39.683039969109146,0.6327293068320117,0.6804261532123544,39.08905630642471,36.36735169357529,40.18330375395215,39.227,3.669365285209634,1.1381659084694198,6.211738384667012,2.828805761243165,9.594671008090858
2019-02-26,40.1951,39.894349999999996,37.772478,39.13510987247883,39.761818435400045,0.6267085629212161,0.6369629554432134,39.046403910886426,36.49855208911357,40.191167917984046,39.1951,3.6685517389832656,0.7482255299775364,6.027157539103018,2.857801296958015,9.19651378124802
